HAT-P-2 & 5.633 & 5.635 &8246.245 &31.623 \\
HAT-P-3 & 2.900 & 2.900 &5437.187 &48.910 \\
HAT-P-4 & 3.057 & 3.055 &7022.547 &75.697 \\
HAT-P-7 & 2.205 & 2.198 &1621.681 &34.336 \\
HAT-P-9 &  3.076 & --- & --- & --- \\
HAT-P-11 & 4.888 & 4.863 &6851.965 &19.332 \\
HAT-P-12 & 3.213 & 3.214 &12593.719 &180.890 \\
HAT-P-14 & 4.628 & 4.625 &9076.318 &28.171 \\
HAT-P-16 & 2.776 & 2.778 &6150.352 &48.170 \\
HAT-P-17 & 10.338 &  5.180 &12522.630 &63.052 \\
HAT-P-18 & 5.508 & 5.510 &16423.212 &263.405 \\
HAT-P-21 & 4.124 & 4.124 &6152.725 &43.448 \\
HAT-P-22 & 3.212 & 3.211 &5322.576 &65.932 \\
HAT-P-24 & 3.335 & 3.354 &6066.576 &55.993 \\
